Experimento,ID_Cliente,Accuracy_Local,Recall_Local
FedMedian | Logistic Regression | Sin Privacidad,3,0.9993692602684429,0.7681159420289855
FedMedian | Logistic Regression | Clipping,1,0.9669492380664043,0.9069767441860465
FedMedian | Logistic Regression | Clipping,2,0.9678827328691089,0.9452054794520548
FedMedian | Logistic Regression | Clipping,3,0.9686648501362398,0.927536231884058
FedMedian | Logistic Regression | Noising,1,0.9992683419113937,0.7674418604651163
FedMedian | Logistic Regression | Noising,2,0.9990665051972953,0.6986301369863014
FedMedian | Logistic Regression | Noising,3,0.9993692602684429,0.7681159420289855
FedMedian | Logistic Regression | Clipping+Noising,1,0.967630436976486,0.9069767441860465
FedMedian | Logistic Regression | Clipping+Noising,2,0.967983651226158,0.9452054794520548
FedMedian | Logistic Regression | Clipping+Noising,3,0.9689676052073872,0.927536231884058
FedMedian | Ridge | Sin Privacidad,1,0.9986880613583611,0.4883720930232558
FedMedian | Ridge | Sin Privacidad,2,0.9986628317690988,0.4794520547945205
FedMedian | Ridge | Sin Privacidad,3,0.9989151276617216,0.5072463768115942
FedMedian | Ridge | Clipping,1,0.9986880613583611,0.4883720930232558
FedMedian | Ridge | Clipping,2,0.9986628317690988,0.4794520547945205
FedMedian | Ridge | Clipping,3,0.9989151276617216,0.5072463768115942
FedMedian | Ridge | Noising,1,0.9988142093046726,0.5465116279069767
FedMedian | Ridge | Noising,2,0.9987637501261479,0.5342465753424658
FedMedian | Ridge | Noising,3,0.9990917347865577,0.6086956521739131
FedMedian | Ridge | Clipping+Noising,1,0.9986880613583611,0.5
FedMedian | Ridge | Clipping+Noising,2,0.9986880613583611,0.4931506849315068
FedMedian | Ridge | Clipping+Noising,3,0.9988394388939348,0.4927536231884058
FedMedian | Decision Tree | Sin Privacidad,1,0.9978302553234434,0.0
FedMedian | Decision Tree | Sin Privacidad,2,0.9981582399838531,0.0
FedMedian | Decision Tree | Sin Privacidad,3,0.9982591583409022,0.0
FedMedian | Decision Tree | Clipping,1,0.9978302553234434,0.0
FedMedian | Decision Tree | Clipping,2,0.9981582399838531,0.0
FedMedian | Decision Tree | Clipping,3,0.9982591583409022,0.0
FedMedian | Decision Tree | Noising,1,0.9978302553234434,0.0
FedMedian | Decision Tree | Noising,2,0.9981582399838531,0.0
FedMedian | Decision Tree | Noising,3,0.9982591583409022,0.0
FedMedian | Decision Tree | Clipping+Noising,1,0.9978302553234434,0.0
FedMedian | Decision Tree | Clipping+Noising,2,0.9981582399838531,0.0
FedMedian | Decision Tree | Clipping+Noising,3,0.9982591583409022,0.0
FedMedian | Random Forest | Sin Privacidad,1,0.9978302553234434,0.0
FedMedian | Random Forest | Sin Privacidad,2,0.9981582399838531,0.0
FedMedian | Random Forest | Sin Privacidad,3,0.9982591583409022,0.0
FedMedian | Random Forest | Clipping,1,0.9978302553234434,0.0
FedMedian | Random Forest | Clipping,2,0.9981582399838531,0.0
FedMedian | Random Forest | Clipping,3,0.9982591583409022,0.0
FedMedian | Random Forest | Noising,1,0.9978302553234434,0.0
FedMedian | Random Forest | Noising,2,0.9981582399838531,0.0
FedMedian | Random Forest | Noising,3,0.9982591583409022,0.0
FedMedian | Random Forest | Clipping+Noising,1,0.9978302553234434,0.0
FedMedian | Random Forest | Clipping+Noising,2,0.9981582399838531,0.0
FedMedian | Random Forest | Clipping+Noising,3,0.9982591583409022,0.0
FedMedian | Naive Bayes | Sin Privacidad,1,0.9978302553234434,0.0
FedMedian | Naive Bayes | Sin Privacidad,2,0.9981582399838531,0.0
FedMedian | Naive Bayes | Sin Privacidad,3,0.9982591583409022,0.0
FedMedian | Naive Bayes | Clipping,1,0.9978302553234434,0.0
FedMedian | Naive Bayes | Clipping,2,0.9981582399838531,0.0
FedMedian | Naive Bayes | Clipping,3,0.9982591583409022,0.0
FedMedian | Naive Bayes | Noising,1,0.9978302553234434,0.0
